sample_id,group,s3_path,filename
H1900235,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900235_S1_L001_R1_001.fastq.gz,H1900235_S1_L001_R1_001.fastq.gz
H1900262,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900262_S59_L001_R1_001.fastq.gz,H1900262_S59_L001_R1_001.fastq.gz
H1900274,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900274_S23_L001_R1_001.fastq.gz,H1900274_S23_L001_R1_001.fastq.gz
H1900281,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900281_S28_L001_R1_001.fastq.gz,H1900281_S28_L001_R1_001.fastq.gz
H1900282,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900282_S29_L001_R1_001.fastq.gz,H1900282_S29_L001_R1_001.fastq.gz
H1900288,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900288_S33_L001_R1_001.fastq.gz,H1900288_S33_L001_R1_001.fastq.gz
H1900289,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900289_S36_L001_R1_001.fastq.gz,H1900289_S36_L001_R1_001.fastq.gz
H1900315,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900315_S57_L001_R1_001.fastq.gz,H1900315_S57_L001_R1_001.fastq.gz
H1900321,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900321_S58_L001_R1_001.fastq.gz,H1900321_S58_L001_R1_001.fastq.gz
H1900323,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900323_S62_L001_R1_001.fastq.gz,H1900323_S62_L001_R1_001.fastq.gz
H1900333,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900333_S25_L001_R1_001.fastq.gz,H1900333_S25_L001_R1_001.fastq.gz
H1900360,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900360_S12_L001_R1_001.fastq.gz,H1900360_S12_L001_R1_001.fastq.gz
H1900383,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900383_S55_L001_R1_001.fastq.gz,H1900383_S55_L001_R1_001.fastq.gz
H1900400,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900400_S5_L001_R1_001.fastq.gz,H1900400_S5_L001_R1_001.fastq.gz
H1900403,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900403_S9_L001_R1_001.fastq.gz,H1900403_S9_L001_R1_001.fastq.gz
H1900404,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900404_S10_L001_R1_001.fastq.gz,H1900404_S10_L001_R1_001.fastq.gz
H1900407,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900407_S12_L001_R1_001.fastq.gz,H1900407_S12_L001_R1_001.fastq.gz
H1900446,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900446_S52_L001_R1_001.fastq.gz,H1900446_S52_L001_R1_001.fastq.gz
H1900459,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900459_S1_L001_R1_001.fastq.gz,H1900459_S1_L001_R1_001.fastq.gz
H1900465,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900465_S9_L001_R1_001.fastq.gz,H1900465_S9_L001_R1_001.fastq.gz
H1900478,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900478_S21_L001_R1_001.fastq.gz,H1900478_S21_L001_R1_001.fastq.gz
H1900484,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900484_S27_L001_R1_001.fastq.gz,H1900484_S27_L001_R1_001.fastq.gz
H1900496,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900496_S41_L001_R1_001.fastq.gz,H1900496_S41_L001_R1_001.fastq.gz
